"Timestamp","학년","불안한 부분","앱 알게된 방법","대부분 과목의 목표 성과","앱 효과","디자인 평가","레이아웃 평가","불편한 점"
"2023/11/18 8:28:25 PM GMT+9","중3","수행평가가 불안하다;중간고사가 불안하다;기말고사가 불안하다","부모님;친구;SNS;","A;B;C;D","나의계산력저하","색깔이 마음에 들지 않는다;앱 로고가 마음에 들지 않는다;버튼, 박스 등이 마음에 들지 않는다","레이아웃이 못생겼다","제작자가 이현승임."
"2023/11/18 8:54:19 PM GMT+9","중3","중간고사가 불안하다;기말고사가 불안하다","부모님","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","니가 만들었다는 그런 점만 빼면 다 ㄱㅊ"
"2023/11/18 9:36:10 PM GMT+9","중3","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/18 9:36:18 PM GMT+9","중3","수행평가가 불안하다;중간고사가 불안하다;기말고사가 불안하다","나","A","기말고사가 덜 불안하다","색깔이 마음에 들지 않는다;버튼, 박스 등이 마음에 들지 않는다","레이아웃이 복잡하다",""
"2023/11/18 10:24:58 PM GMT+9","중3","기말고사가 불안하다","친구","A","명확한 목표를 세울 수 있다","색깔이 마음에 들지 않는다;앱 로고가 마음에 들지 않는다","레이아웃 괜찮다","풉킥"
"2023/11/18 10:42:03 PM GMT+9","중3","기말고사가 불안하다","친구","A","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다","모든 과목을 한꺼번에 볼 수 있게 해주세요 표로"
"2023/11/18 10:53:01 PM GMT+9","중3","기말고사가 불안하다","친구","A","명확한 목표를 세울 수 있다","버튼, 박스 등이 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/11/19 12:16:18 AM GMT+9","중3","기말고사가 불안하다","이현승의 강요, 위에거 해당사항없는데어떡하죠","A","수능최저맞추기감성","앱 로고가 마음에 들지 않는다","레이아웃이 못생겼다","과목별비율이기억이안나는데어떡하죠ㅜ"
"2023/11/19 1:27:32 AM GMT+9","중2","수행평가 점수가 낮다;기말고사가 불안하다","검색","B","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/19 2:35:51 AM GMT+9","중2","중간고사 점수가 낮다","검색","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/19 9:30:02 AM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/19 10:50:18 AM GMT+9","중3","수행평가 점수가 낮다","친구;SNS","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없드아"
"2023/11/20 12:08:34 AM GMT+9","중2","수행평가 점수가 낮다;기말고사가 불안하다","SNS","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/20 12:58:16 PM GMT+9","중2","기말고사가 불안하다","친구","A","명확한 목표를 세울 수 있다","디자인 괜찮다;색깔이 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/11/20 6:53:35 PM GMT+9","중3","중간고사 점수가 낮다","검색","A","명확한 목표를 세울 수 있다","색깔이 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/11/20 8:53:03 PM GMT+9","중3","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/20 11:52:59 PM GMT+9","중2","기말고사가 불안하다","SNS","A","명확한 목표를 세울 수 있다","버튼, 박스 등이 마음에 들지 않는다","레이아웃이 복잡하다",""
"2023/11/21 3:17:10 AM GMT+9","중2","중간고사 점수가 낮다","검색","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/21 6:15:12 AM GMT+9","중3","기말고사가 불안하다","검색","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
